ULJS00266,.hack // Link [PSP]
NPUB30387,Prince of Persia The Two Thrones HD [PS2]
NPEB00390,Prince of Persia The Two Thrones HD [PS2]
BLUS30754,Prince of Persia Trilogy 3D
BLES01091,Prince of Persia Trilogy 3D
BLES01092,Prince of Persia Trilogy 3D
BLAS50286,Prince of Persia Trilogy 3D
NPEB00552,Prince of Persia Trilogy 3D
NPEP00079,Prince of Persia Trilogy Dynamic Theme
NPUB30388,Prince of Persia Warrior Within HD [PS2]
NPEB00389,Prince of Persia Warrior Within HD [PS2]
ULES01408,Prince of Persia: The Forgotten Sands [PSP]
ULUS10480,Prince of Persia: The Forgotten Sands [PSP]
BLES00906,Prince of Persia®
ULJM05040,Princess Crown [PSP]
ULJM05169,Princess Maker 4 Portable [PSP]
ULJM05337,Princess Maker 5 Portable [PSP]
ULUS10407,Prinny: Can I Really Be the Hero [PSP]
ULUS10561,Prinny 2: Dawn of Operation Panties Dood! [PSP]
ULJS00285,Prinny 2: Dawn of Operation Panties, Dood! [PSP]
ULJS00150,Prinny Add-On Character: Claster & Flonne [PSP]
ULES01278,Prinny: Can I Really Be the Hero? [PSP]
NPHH00008,Prinny: Ore ga Shujinko de Iinsuka (aka Prinny: Is It OK If I'm The Protagonist?) [Demo] [PSP]
NPJH90008,Prinny: Ore ga Shujinko de Iinsuka (aka Prinny: Is It OK If I'm The Protagonist?) [Demo] [PSP]
NPJJ00078,Prismaticallization [PSOne]
BLUS30467,Prison Break The Conspiracy
BLES00765,Prison Break The Conspiracy
BLES00766,Prison Break The Conspiracy
BLES01296,Pro Cycling Manager: Tour de France 2011
ULES00849,Pro Cycling: Saison 2007 [PSP]
BLUS30111,Pro Evolution Soccer 2008
BLES00110,Pro Evolution Soccer 2008
BLES00111,Pro Evolution Soccer 2008
BLES00100,Pro Evolution Soccer 2008
NPEB90025,Pro Evolution Soccer 2008 [Demo]
ULUS10320,Pro Evolution Soccer 2008 [PSP]
ULJM05270,Pro Evolution Soccer 2008 [PSP]
BLUS30189,Pro Evolution Soccer 2009
BLES00338,Pro Evolution Soccer 2009
NPEB90111,Pro Evolution Soccer 2009 [Demo]
ULES01176,Pro Evolution Soccer 2009 [PSP]
ULUS10388,Pro Evolution Soccer 2009 [PSP]
BLUS30404,Pro Evolution Soccer 2010
BLES00689,Pro Evolution Soccer 2010
BLES00688,Pro Evolution Soccer 2010
NPEB90190,Pro Evolution Soccer 2010 [Demo]
NPUB90324,Pro Evolution Soccer 2010 [Demo]
ULES01353,Pro Evolution Soccer 2010 [PSP]
BLUS30610,Pro Evolution Soccer 2011
BLES01020,Pro Evolution Soccer 2011
BLES01021,Pro Evolution Soccer 2011
BLES01022,Pro Evolution Soccer 2011
BLES01052,Pro Evolution Soccer 2011
NPEB90279,Pro Evolution Soccer 2011 [Demo]
BLUS30805,Pro Evolution Soccer 2012
BLES01406,Pro Evolution Soccer 2012
BLES01407,Pro Evolution Soccer 2012
BLES01408,Pro Evolution Soccer 2012
BLUS31029,Pro Evolution Soccer 2013
BLES01708,Pro Evolution Soccer 2013
BLES01709,Pro Evolution Soccer 2013
BLES01710,Pro Evolution Soccer 2013
BLES01746,Pro Evolution Soccer 2013
BLKS20375,Pro Evolution Soccer 2013
BLUS31322,Pro Evolution Soccer 2014
NPUB31337,Pro Evolution Soccer 2014
BLES01931,Pro Evolution Soccer 2014
BLES01930,Pro Evolution Soccer 2014
BLES01932,Pro Evolution Soccer 2014
BLES01935,Pro Evolution Soccer 2014
NPEB01809,Pro Evolution Soccer 2014
NPEB01810,Pro Evolution Soccer 2014
NPEB01811,Pro Evolution Soccer 2014
NPEB01812,Pro Evolution Soccer 2014
NPJB00474,Pro Evolution Soccer 2014
BLJM61106,Pro Evolution Soccer 2014
NPHB00583,Pro Evolution Soccer 2014
BLAS50619,Pro Evolution Soccer 2014
NPEB90515,Pro Evolution Soccer 2014 [Demo]
ULES00160,Pro Evolution Soccer 5 [PSP]
ULES00476,Pro Evolution Soccer 6 [PSP]
NPEA00396,Pro Foosball
BLJM60023,Pro Yakyuu Spirits 4
BLJM60075,Pro Yakyuu Spirits 5
BLJM60120,Pro Yakyuu Spirits 5 Kanzenban
BLJM60106,Pro Yakyuu Spirits 5 Kanzenban [First Print Limited Edition]
BLJM60148,Pro Yakyuu Spirits 6
BLAS50109,Pro Yakyuu Spirits 6
BLAS50182,Pro Yakyuu Spirits 2010
BLJM60281,Pro Yakyuu Spirits 2011
BLJM60438,Pro Yakyuu Spirits 2012
BLJM60581,Pro Yakyuu Spirits 2013
BLAS50575,Pro Yakyuu Spirits 2013
BLJM60205,Professional BaseBall Spirits 2010
BLAS50242,Professional BaseBall Spirits 2011
NPJH90044,Project Witch [Demo] [PSP]
NPJH90047,Project Witch [Demo] [PSP]
ULJM05470,Project Witch [PSP]
NPUH90052,Promethus [Demo] [PSP]
ULUS10209,ProStroke Golf: World Tour 2007 [PSP]
ULES00472,ProStroke Golf: World Tour 2007 [PSP]
DOOM00666,PS FreeDoom
ONE11111_,PS One [Emulator]
NPJA90099,PS Store Spring 2009 Special Title Lineup
NOBAN0000,PS Unban
SLED01340,PS1 NET YAROZE COLLECTION
PS2L00123,PS2 Classics Manager by CaptainCPS-X
PS2U10000,PS2 Classics Placeholder
PBPX95208,PS2 DVD Player
NPIA00001,PS2 System Data Add-On
NPUL00108,PS3 Bluetooth Headset
PSCD00001,PS3 Cloud Drive
WIRC12345,PS3 IRC
PSL145310,PS3loadX
MAME90000,PS3 MAME [Emulator]
TEST00000,PS3 Model Detection
PS3Temp00,PS3 Temp [Monitor CPU/GPU Temperature]
PCSX00001,PS3SX [Emulator]
NPXS00006,PS3SX [Emulator]
CHET11111,ps3usercheat v2.0: CodeUnique Manager
CHET20000,ps3usercheat v2.3: CodeUnique Manager
STOK01342,PSIDPatch by stoker25
NPUL00049,PSN Movie Download Machine
DIENSPOOF,PSN SEN Activator/Desactivator (Spoofer) by ARCH
FSEN03269,PSN SEN Activator/Desactivator (Spoofer) by nathan_r32_69
BLES08890,PSNope by user
PSONPSDEX,PSoN DEX installer [PS3ITA]
PS3ITAPSN,PSoN CEX installer [PS3ITA]
PS3ITARMV,PSoN Uninstaller [PS3ITA]
VEBUSPOOF,PSN Enabler + Version Spoofer [kmeaw]
SDISABLER,PSN Disabler + 3.55 Version Restore [kmeaw]
UCUS98642,PSP System Kiosk Disc #1 [PSP]
UCUS98664,PSP System Kiosk Disc #3 [Demo] [PSP]
PBXC00201,PSX Update
PBXC00202,PSX Update
PBXC00203,PSX Update
PBXC00204,PSX Update
NPUB30800,Psych Yourself
NPUD21120,Psychonauts [PS2]
PSEISM0GR,PS Seismograph
PSVB00001,PSVibe
PS3ITAMNG,PS3ITA Manager
NPUB30439,Puddle
NPEB00441,Puddle
PCSB00025,Puddle [PSVita]
NPUL00138,Pulse
BLUS30182,Pure
BLES00327,Pure
NPUB30449,Pure
BLJM60122,Pure [Extreme Racing]
NPEB90092,Pure [Demo]
NPUB90096,Pure [Demo]
NPUB31362,Pure Chess
NPEB00647,Pure Chess
BLES00725,Pure Football
BLUS30411,Pure Futbol: Authentic Soccer
BLAS50216,Pure Futbol: Authentic Soccer
UCUS98703,Pursuit Force: Extreme Justice [PSP]
UCET00007,Pursuit Force [Beta] [PSP]
UCUS98655,Pursuit Force [Demo] [PSP]
UCED00150,Pursuit Force [Demo] [PSP]
UCUS98640,Pursuit Force [PSP]
UCES00019,Pursuit Force [PSP]
UCES00890,Pursuit Force: Extreme Justice [PSP]
UCES00694,Pursuit Force: Extreme Justice [PSP]
BLUS30731,Puss In Boots
BLES01240,Puss In Boots
ULES00294,Puyo Pop Fever [PSP]
NPJJ00199,Puzzle Bobble 2 [PSOne]
NPJJ00230,Puzzle Bobble 3 DX [PSOne]
ULUS10120,Puzzle Challenge: Crosswords & More! [PSP]
ULUS10468,Puzzle Chronicles [PSP]
NPUB30076,Puzzle Chronicles
NPEB00401,Puzzle Dimension
NPUH90004,Puzzle Guzzle [Demo] [PSP]
ULUS10334,Puzzle Guzzle [PSP]
ULUS80018,Puzzle Quest: Challenge of the Warlords [Demo] [PSP]
ULUS10225,Puzzle Quest: Challenge of the Warlords [PSP]
NPJB00014,Puzzle Quest: Challenge of the Warlords
ULES00909,Puzzle Quest: Challenge of the Warlords [PSP]
NPJB00021,Puzzle Quest: Galactrix
NPUB30072,Puzzle Quest: Galactrix
NPEZ00001,Puzzle Scape [MINI] [PSP]
ULUS10190,Puzzle Scape [PSP]
NPUB30125,Puzzlegeddon
NPUB30010,Q*bert
NPEB00008,Q*Bert
QAFG00003,qa flag/qa flag extra tool
RQAF00003,qa reset tool
ULJM05617,Qix++ [PSP]
NPEA00193,QLione 1
NPEA00262,QLione 1
NPHA70006,Qook TV (MegaTV)
NPUA80191,Qore
NPIA09002,Music Unlimited [Qriocity]
NPUA80319,Qruton (Numblast)
NPEA00121,Qruton (Numblast)
NPJG90052,Qruton (Numblast) [Demo] [PSP]
NPEG90014,Qruton (Numblast) [Demo] [PSP]
NPEA90040,Qruton (Numblast) [Demo]
NPJA90100,Qruton (Numblast) [Demo]
NPJA00043,Qruton
NPUB30601,Quantum Conundrum
NPEB00895,Quantum Conundrum
NPJB00208,Quantum Conundrum
BLUS30198,Quantum of Solace
BLUS30199,Quantum of Solace [Collector's Edition]
BLES00406,Quantum of Solace
BLES00411,Quantum of Solace
BLJM60137,Quantum of Solace
BLKS20088,Quantum of Solace
BLUS30329,QUANTUM THEORY
BLES00868,QUANTUM THEORY
NPEB01259,QUANTUM THEORY
BLJM60214,QUANTUM THEORY
BLAS50192,QUANTUM THEORY
ULJS00190,Queen's Blade: Spiral Chaos [PSP]
NPEB00352,Quizball Goal!
NPUJ00753,R-Type [PSOne]
ULUS10343,R-Type Command [PSP]
NPUJ00877,R-Type Delta  [PSOne]
NPJH90065,R-Type Tactics 2: Operation Bitter Chocolate
ULES01121,R-Type Tactics [PSP]
NPUH90008,R-Type: Command [Demo] [PSP]
NPJH90089,R-Type: Operation Bitter Chocolate [Demo] [PSP]
BLUS30478,R.U.S.E.
BLES00785,R.U.S.E.
NPEL00129,R.U.S.E.
BLJM60198,R.U.S.E.
BLJM60376,R.U.S.E. [UBI the Best]
BLAS50191,R.U.S.E.
NPUJ00797,R4: Ridge Racer Type 4 [PSOne]
NPEF00135,R4: Ridge Racer Type 4 [PSOne]
BLUS30131,R6V2: Rainbow Six Vegas 2 Limited Edition
NPEA00336,RA.ONE: The Game
ULUS10096,Race Driver 2006 [PSP]
BLUS30142,Racedriver: GRID ™
BLES00256,Racedriver: GRID ™
BLJM60118,Racedriver: GRID ™
BLJM60119,Racedriver: GRID ™
BLKS20078,Racedriver: GRID ™
BLJM60236,Racedriver: GRID ™ [Codemasters The Best]
NPEB90070,Racedriver: GRID ™ [Demo]
NPUB90102,Racedriver: GRID ™ [Demo]
NPUL00160,Rachel Getting Married
UCUS98633,Rachet & Clank: Size Matters [PSP]
BLES01000,Racket Sports
BLAS50226,Racket Sports
BLUS30571,Racquet Sports
NPUB31105,Racquet Sports
NPUB90487,Racquet Sports Move [Demo]
NPUA80217,Rag Doll Kung Fu™: Fists of Plastic
NPEO50015,Rag Doll Kung Fu™: Fists of Plastic
NPJA00038,Rag Doll Kung Fu™: Fists of Plastic
NPHA80055,Rag Doll Kung Fu™: Fists of Plastic
NPEK00161,Rag Doll Kung Fu™: Fists of Plastic
NPEA00103,Rag Doll Kung Fu™: Fists of Plastic
NPUA70058,Rag Doll Kung Fu™: Fists of Plastic [Demo]
NPEA00142,Rag Doll Kung Fu™: Fists of Plastic [Demo]
NPJA90107,Rag Doll Kung Fu™: Fists of Plastic [Demo]
BLUS30485,RAGE ®
BLAS50374,RAGE ®
BLES01377,RAGE ®
BLES01378,RAGE ®
BLES01426,RAGE ®
BLJM60994,RAGE ®
NPEB90391,RAGE ® [Demo]
BLJM60013,Railfan
BLKS20010,Railfan
BCAS20007,Railfan
BCAS20018,Railfan: Taiwan High-Speed Rail
BLJS10012,Railfan: Taiwan High-Speed Rail
NPHK80047,Railfan Taiwan
NPUA80719,rain™
NPEA00394,rain™
NPHA80264,rain™
ULES00594,Rainbow Islands: Evolution [PSP]
ULUS10205,Rainbow Islands [PSP]
NPUB30434,Rainbow Moon
NPEB00486,Rainbow Moon
NPJJ00169,Rakugaki Showtime [PSOne]
NPUI94308,Rally Cross [PSOne]
NPEE00057,Rally Cross [PSOne]
NPUB30003,Rampage World Tour
NPUB30008,Rampart
NPEB00004,Rampart
NPHK80060,Rampart
BLUS30678,Rango
BLES01164,Rango
BLUS30076,Rapala Fishing Frenzy
BLES00401,Rapala Fishing Frenzy
ULUS10137,Rapala Trophies [PSP]
BLUS30570,Rapala® Pro Bass Fishing
BLES00957,Rapala® Pro Bass Fishing
NPUF30026,Rapid Angel [PSOne]
NPEF00185,Rascal Racers [PSOne]
BCAS20023,Ratchet & Clank Future
BCUS98124,Ratchet & Clank Future: A Crack in Time
BCES00142,Ratchet & Clank Future: A Crack in Time
BCJS30038,Ratchet & Clank Future: A Crack in Time
BCKS10087,Ratchet & Clank Future: A Crack in Time
BCUS98187,Ratchet & Clank Future: Quest for Booty
BLES00301,Ratchet & Clank Future: Quest for Booty
NPUA80145,Ratchet & Clank Future: Quest For Booty
NPEA00088,Ratchet & Clank Future: Quest For Booty
BCUS98127,Ratchet & Clank Future: Tools of Destruction
BLES00052,Ratchet & Clank Future: Tools of Destruction
BCES00052,Ratchet & Clank Future: Tools of Destruction
BCKS10016,Ratchet & Clank Future: Tools of Destruction
BCJS30014,Ratchet & Clank Future: Tools of Destruction
BCJS70012,Ratchet & Clank Future: Tools of Destruction [Best Version]
BCKS10054,Ratchet & Clank Future: Tools of Destruction [PlayStation®3 Big Hit series]
BCAS20045,Ratchet & Clank Future: Tools of Destruction [PlayStation®3 the Best]
BCJS70004,Ratchet & Clank Future: Tools of Destruction [PlayStation®3 the Best]
NPJA00033,Ratchet & Clank Future Gaiden
BCES00511,Ratchet & Clank: A Crack in Time
BCES00748,Ratchet & Clank: A Crack in Time
BCES00726,Ratchet & Clank: A Crack in Time
BCAS20098,Ratchet & Clank: A Crack in Time
NPHA80079,Ratchet & Clank: A Crack in Time Clank (Great Clock [Demo])
NPUA70085,Ratchet & Clank: A Crack in Time Clank (Great Clock [Demo])
NPEA90051,Ratchet & Clank: A Crack in Time Clank (Great Clock [Demo])
NPEA90046,Ratchet & Clank: A Crack in Time Ratchet (Krell Canyon [Demo])
NPUA70083,Ratchet & Clank: A Crack in Time Ratchet (Krell Canyon [Demo])
BCUS98175,Ratchet & Clank: All 4 One
BCES01142,Ratchet & Clank: All 4 One
BCES01141,Ratchet & Clank: All 4 One
BCAS20200,Ratchet & Clank: All 4 One
BCJS30081,Ratchet & Clank: All 4 One
NPUA80695,Ratchet & Clank: All 4 One
NPEA00356,Ratchet & Clank: All 4 One
NPUA70181,Ratchet & Clank: All 4 One [Demo]
NPEA90105,Ratchet & Clank: All 4 One [Demo]
NPEA00407,Ratchet & Clank: All 4 One [Sound Track]
BCUS98380,Ratchet & Clank: Full Frontal Assault
NPUA80642,Ratchet & Clank: Full Frontal Assault
BCES01594,Ratchet & Clank: QForce
NPEA00378,Ratchet & Clank: QForce
XCES00001,Ratchet & Clank: QForce
BCES00301,Ratchet & Clank: Quest For Booty
BCAS20052,Ratchet & Clank: Quest for Booty
UCUS98695,Ratchet & Clank: Size Matters [Online Public Beta] [PSP]
UCES00420,Ratchet & Clank: Size Matters [PSP]
UCJS10052,Ratchet & Clank: Size Matters [PSP]
UCUS98684,Ratchet & Clank: Size Matters [Regular Demo] [PSP]
NPUA98153,Ratchet & Clank: Tools of Destruction [Demo]
NPEA90017,Ratchet & Clank: Tools of Destruction [Demo]
NPJA90035,Ratchet & Clank: Tools of Destruction [Demo]
NPHA20002,Ratchet & Clank: Tools of Destruction [Demo]
BCUS98282,Ratchet and Clank Collection HD [PS2]
BCES01503,Ratchet & Clank Trilogy: Classics HD, The [PS2]
BCJS30084,Ratchet & Clank 1-2-3: Ginga Saikyou Gorgeous Pack [PS2]
NPUA80643,Ratchet & Clank [PS2]
NPEA00385,Ratchet & Clank [PS2]
NPJA40001,Ratchet & Clank [PS2]
NPUA80644,Ratchet & Clank: Going Commando [PS2]
NPEA00386,Ratchet & Clank: Going Commando [PS2]
NPJA40002,Ratchet & Clank: Going Commando [PS2]
NPUA80645,Ratchet & Clank: Up Your Arsenal [PS2]
NPEA00387,Ratchet & Clank: Up Your Arsenal [PS2]
NPJA40003,Ratchet & Clank: Up Your Arsenal [PS2]
NPUA80646,Ratchet: Deadlocked™ [PS2]
BCES01504,Ratchet: Deadlocked™ [PS2]
NPEA00388,Ratchet: Deadlocked™ [PS2]
NPJA40004,Ratchet: Deadlocked™ [PS2]
NPJB00034,RayStorm HD
NPUD20138,Rayman 2: Revolution [PS2]
NPUJ01235,Rayman 2: The Great Escape [PSOne]
NPEF00108,Rayman 2: The Great Escape [PSOne]
NPUB30714,Rayman 3 HD
NPEB00879,Rayman 3 HD
NPUJ00005,Rayman [PSOne]
NPEF00023,Rayman [PSOne]
BLUS31183,Rayman Legends
NPUB31218,Rayman Legends
BLES01863,Rayman Legends
BLES01896,Rayman Legends
NPEB01356,Rayman Legends
NPEB90505,Rayman Legends [Demo]
NPUB90969,Rayman Legends [Demo]
BLUS30836,Rayman Origins
NPUB30661,Rayman Origins
BLES01386,Rayman Origins
BLES01387,Rayman Origins
BLAS54021,Rayman Origins
BLJM60431,Rayman Origins
NPEB00818,Rayman Origins
NPUB90719,Rayman Origins [Demo]
PCSB00079,Rayman Origins [PSVita]
RPSN00001,reActPSN
NPJJ00038,Real Bout Garou Densetsu Special - Dominated Mind [PSOne]
NPUB30605,Real Steel
NPEB00754,Real Steel
NPJB00169,Real Steel
NPUB30793,Realms Of Ancient War
NPEB00940,Realms Of Ancient War
NPUD21303,Rebel Raiders Operation Nighthawk [PS2]
PKGMANAGE,Rebug Package Manager / XMB Manager Plus Flasher
PKGMANAGR,Rebug Package Manager / XMB Manager Plus Flasher
RBGSELECT,Rebug Selector
RBGTLBOX2,Rebug Selector 2.0
TOGGLEQAF,Rebug Toggle QA
LV2LOADER,Rebug's lv2_kernel.self Loader
VERSPOOFA,Rebug's Version Spoofer
NPUB30142,Record of Agarest War
NPUB30776,Record of Agarest War Zero
BLUS30686,Record of Agarest War Zero
BLUS30748,Record of Agarest War Zero [Limited Edition]
BLKS20147,Record of Agarest War Zero
BLUS30881,Record of Agarest War 2
BLUS31016,Record of Agarest War 2 [Limited Edition]
NPUB30771,Record of Agarest War 2
NPEB00982,Record of Agarest: Generation of War 2
NPUB30030,Red Baron Arcade
NPEB00031,Red Baron Arcade
NPEZ00100,Red Bull X-Fighters [MINI] [PSP]
NPUZ00048,Red Bull X-Fighters [MINI] [PSP]
BLUS30418,Red Dead Redemption
BLUS30711,Red Dead Redemption
NPUB90270,Red Dead Redemption
NPEB00833,Red Dead Redemption
BLES00630,Red Dead Redemption
BLES00680,Red Dead Redemption
BLES01179,Red Dead Redemption
BLJM60403,Red Dead Redemption
NPEL00137,Red Dead Redemption
BLKS20202,Red Dead Redemption
BLJM60265,Red Dead Redemption
BLAS50203,Red Dead Redemption
BLES01294,Red Dead Redemption [Game of the Year Edition]
BLKS20315,Red Dead Redemption [Game of the Year Edition]
BLAS50382,Red Dead Redemption [Game of the Year Edition]
BLUS30758,Red Dead Redemption [Game of the Year Edition]
NPUB30639,Red Dead Redemption: Undead Nightmare
NPEB00832,Red Dead Redemption: Undead Nightmare
BLJM60314,Red Dead Redemption: Undead Nightmare
BLAS50296,Red Dead Redemption: Undead Nightmare
NPUD20500,Red Dead Revolver [PS2]
NPUD20073,Red Faction [PS2]
NPUD20442,Red Faction II [PS2]
BLUS30585,Red Faction: Armageddon
NPUB30574,Red Faction: Armageddon
BLES00991,Red Faction: Armageddon
BLES00993,Red Faction: Armageddon
BLES00994,Red Faction: Armageddon
NPEB00612,Red Faction: Armageddon
BLAS50343,Red Faction: Armageddon
BLJS10126,Red Faction: Armageddon
BLKS20289,Red Faction: Armageddon
NPUB30296,Red Faction: Battlegrounds
NPEB00300,Red Faction: Battlegrounds
NPHB00331,Red Faction: Battlegrounds
BLUS30258,Red Faction: Guerrilla
BLES00497,Red Faction: Guerrilla
BLES00498,Red Faction: Guerrilla
NPEB00353,Red Faction: Guerrilla
BLJS10055,Red Faction: Guerrilla
NPUB30295,Red Faction: Guerrilla
BLES00592,Red Faction: Guerrilla
BLES00496,Red Faction: Guerrilla
BLAS50118,Red Faction: Guerrilla
NPUB90228,Red Faction: Guerrilla [Demo]
NPEB90146,Red Faction: Guerrilla [Demo]
NPHB00107,Red Faction: Guerrilla [Demo]
BLJS10086,Red Faction: Guerrilla [Spike The Best]
NPEB90158,Red Faction: Guerrilla Multiplayer [Demo]
NPUB30426,Red Johnson's Chronicles
NPUB30582,Red Johnson's Chronicles: One Against All
NPUB30630,Red Johnson's Chronicles: One Against All
NPEB00761,Red Johnson's Chronicles: One Against All
NPUD20145,Ring Of Red [PS2]
BLJS10073,Red Seeds Profile
BCAS20118,Red Seeds Profile
NPUH10040,Red Star, The [PSP]
NPUJ00440,Reel Fishing [PSOne]
NPEF00024,Reel Fishing [PSOne]
ULUS10166,Reel Fishing: Life & Nature [PSP]
ULES00612,Reel Fishing: The Great Outdoors [PSP]
NPUJ00843,Reel Fishing© II
NPUJ00382,Reloaded™ [PSOne]
REMINIS00,REminiscence (Flashback)
NPUB30406,Renegade Ops
NPEB00446,Renegade Ops
NPJB00149,Renegade Ops
ULES00123,Rengoku: The Tower of Purgatory [PSP]
ULUS10013,Rengoku: The Tower of Purgatory [PSP]
ULES00437,Rengoku II: The Stairway to H.E.A.V.E.N. [PSP]
ULUS10127,Rengoku II: The Stairway to H.E.A.V.E.N. [PSP]
ULJM05006,Rengoku: The Tower of Purgatory [PSP]
RCTCORE00,Reset Core 4.31 CFW
NPEF00198,RESIDENT EVIL 2 [PSOne]
NPUJ00748,RESIDENT EVIL 2 (DUALSHOCK VERSION) [PSOne]
NPEF00199,RESIDENT EVIL 3: Nemesis [PSOne]
NPUJ00923,RESIDENT EVIL 3: Nemesis [PSOne]
NPEB00342,RESIDENT EVIL 4 HD [PS2]
NPUB30312,RESIDENT EVIL 4 HD [PS2]
BLUS30270,RESIDENT EVIL 5
BLUS30287,RESIDENT EVIL 5 [Collector's Edition]
BLES00485,RESIDENT EVIL 5
BLAS50102,RESIDENT EVIL 5
BLAS50178,RESIDENT EVIL 5
BLAS50181,RESIDENT EVIL 5 [PlayStation®3 the Best]
NPUB90192,RESIDENT EVIL 5 [Demo]
NPEB90124,RESIDENT EVIL 5 [Demo]
NPHB00070,RESIDENT EVIL 5 [Demo]
NPJB90152,RESIDENT EVIL 5 [Demo] [Biohazard 5]
BLUS30491,RESIDENT EVIL 5 GOLD EDITION
NPUB30564,RESIDENT EVIL 5 GOLD EDITION
NPEB00687,RESIDENT EVIL 5 GOLD EDITION
BLES00816,RESIDENT EVIL 5 GOLD EDITION
BLUS30855,RESIDENT EVIL 6
BLES01465,RESIDENT EVIL 6
BLES01683,RESIDENT EVIL 6
BLJM60405,RESIDENT EVIL 6 [Biohazard 6]
BLAS50485,RESIDENT EVIL 6 [Biohazard 6]
NPUB30984,RESIDENT EVIL 6
NPEB01150,RESIDENT EVIL 6
NPEB01151,RESIDENT EVIL 6
NPUB90864,RESIDENT EVIL 6 [Demo]
NPEB90464,RESIDENT EVIL 6 [Demo]
NPJB90541,RESIDENT EVIL 6 [Demo] [Biohazard 6]
NPUB30467,RESIDENT EVIL Code Veronica X HD [PS2]
NPEB00553,RESIDENT EVIL Code Veronica X HD [PS2]
NPJB00135,RESIDENT EVIL Code Veronica X HD [PS2]
NPJD00001,RESIDENT EVIL Code Veronica X HD [PS2]
NPHL00095,RESIDENT EVIL Degeneration
NPUJ00747,RESIDENT EVIL Director's Cut [PSOne]
NPEF00163,RESIDENT EVIL Director's Cut [PSOne]
BLUS30750,RESIDENT EVIL™ Operation Raccoon City
BLUS30929,RESIDENT EVIL™ Operation Raccoon City [Special Edition]
BLES01288,RESIDENT EVIL™ Operation Raccoon City
BLES01417,RESIDENT EVIL™ Operation Raccoon City [German Version]
BLAS50431,RESIDENT EVIL™ Operation Raccoon City
NPUB30767,RESIDENT EVIL™ Operation Raccoon City
NPEB00984,RESIDENT EVIL™ Operation Raccoon City
NPEB00985,RESIDENT EVIL™ Operation Raccoon City
NPJB00215,RESIDENT EVIL™ Operation Raccoon City
BLUS31051,RESIDENT EVIL™ Revelations
NPUB30991,RESIDENT EVIL™ Revelations
BLES01773,RESIDENT EVIL™ Revelations
NPEB01187,RESIDENT EVIL™ Revelations
NPEB90478,RESIDENT EVIL™ Revelations
NPUB30648,RESIDENT EVIL™ THE DARKSIDE CHRONICLES
NPEB00816,RESIDENT EVIL™ THE DARKSIDE CHRONICLES
NPJB00173,RESIDENT EVIL™ THE DARKSIDE CHRONICLES
NPUB30650,RESIDENT EVIL™ THE UMBRELLA CHRONICLES
NPEB00817,RESIDENT EVIL™ THE UMBRELLA CHRONICLES
NPJB00174,RESIDENT EVIL™ THE UMBRELLA CHRONICLES
BCUS98120,Resistance 2
BCES00226,Resistance 2
BCAS20055,Resistance 2
BCKS10057,Resistance 2
BCJS30029,Resistance 2
BCET70007,Resistance 2 [Beta]
NPUA70019,Resistance 2 [Beta]
NPUA70018,Resistance 2 [Beta]
BCUS98190,Resistance 2 [Collector's Edition]
BCJS70022,Resistance 2 [PlayStation®3 the Best]
BCAS20110,Resistance 2 [PlayStation®3 the Best]
BCUS98176,Resistance 3
BCUS98367,Resistance 3 [Doomsday Edition]
BCES01353,Resistance 3
BCES01118,Resistance 3
BCAS25012,Resistance 3
BCJS37006,Resistance 3
NPUA70161,Resistance 3
NPHA80153,Resistance 3 [Demo]
NPEA90102,Resistance 3 [Demo]
BCET70033,Resistance 3 [Online Beta]
BCUS99184,Resistance Collection [Resistance Trilogy]
BCUS98376,Resistance Dual Pack: Resistance Fall of Man + Resistance 2
NPEK00176,Resistance Retribution
NPJG90037,Resistance Retribution [Demo] [PSP]
NPUG22850,Resistance Retribution [Demo] [PSP]
NPHG00018,Resistance Retribution [Demo] [PSP]
NPEG90013,Resistance Retribution [Demo] [PSP]
UCUS98668,Resistance Retribution [PSP]
UCUS98735,Resistance Retribution [PSP]
PCSF00141,Resistance: Burning Skies [PSVita]
BCUS98107,Resistance: Fall of Man
BCES00001,Resistance: Fall of Man
BCKS10004,Resistance: Fall of Man
BCJS30003,Resistance: Fall of Man
BCAS20003,Resistance: Fall of Man
BCJS70010,Resistance: Fall of Man [Best Version]
NPEA90001,Resistance: Fall of Man [Demo]
NPUA80016,Resistance: Fall of Man [Demo]
BCKS10038,Resistance: Fall of Man [PlayStation®3 Big Hit series]
BCJS70001,Resistance: Fall of Man [PlayStation®3 the Best]
BCAS20037,Resistance: Fall of Man [PlayStation®3 the Best]
UCES01184,Resistance: Retribution [PSP]
PCSF00003,Resistance: Burning Skies [PSVita]
BLUS30484,Resonance of Fate™
BLES00789,Resonance of Fate™
RESACTDAT,Restore act.dat
BACKUTILS,Restore backup utility on 3.55 DEX
UNINSBACK,Uninstall backup utility from 3.55 DEX
SSNE10000,RetroArch [Emulator] [FBA/GBA/SNES/Genesis/SEGA CD/NES/GB/GBC/GG/Doom/MAME/PC-Engine]
SSNE22222,RetroArch: FBalpha (arcade)
SSNE13131,RetroArch: Game Gear
SSNE66666,RetroArch: Gameboy
SSNE44444,RetroArch: GameboyAdvance
SSNE33333,RetroArch: Genesis
SSNE11111,RetroArch: IMAME4all
SSNE14141,RetroArch: Master System
SSNE54321,RetroArch: Neo-Geo
SSNE77777,RetroArch: NES
